Supplier Name,Business Name,Customer Id,Telarus Order ID,Order,Account Number,Scoreboard Closing Agent,agentSalesforceId,Direct Broker Agent,IsRenewal,Term (Mos.),Contract Start Date,First Usage Month Recorded,Current Usage Month,Currency,MRC,Scoreboard MRC,Most Recent Total Bill For Account,Total Bill For Account Prior Month1,Total Bill For Account Prior Month2,Total Bill For Account Prior Month3,Total Bill For Account Prior Month4,Order Passthrough,Account Passthrough Actual,Order Commissions Expected,Acct Comm - Actual Prior Mnt 5,Acct Comm - Actual Prior Mnt 4,Acct Comm - Actual Prior Mnt 3,Acct Comm - Actual Prior Mnt 2,Acct Comm - Actual Prior Mnt 1,Acct Comm - Actual Current Mnt,Has Adjustment in Last 6 Months,Recent Mth: 3,Recent Mth: 2,Recent Mth: 1,Carry Note,Telarus Note,PercentVar,DollarVar,Non-Pay,CB,Variance Review Flag,Comm Rate Var +-,Negative MRR Delta,Negative Comm Delta,>=2 & <13 Month Age,MRC Review?,Order Bill Total,Customer Bill Total,Master Review Flag,Customer Review,Order Comms Total,Comms Paying as Expected on OrderID,Account Aging,Action,Sub Action,MRC Disputed,Comms Disputed,New SF Case Status,SF Case Close Reason,Disco Date,New Total MRC,New Incremental MRC,Effective Date,Review Date,Date Taken,Review By,Date added to completed audit,Audit Month,Salesforce Case Subject,Prior Telarus Note,Prior Action,Prior Subaction,Prior Disco Date,Prior New Total MRC,Prior New Incremental MRC,Prior Effective Date,Prior Telarus Audit Month,Latest SF Case,SF Case Created Date,SF Case Status,SF Case Type,SF Case Close Reason2,Resolution Closed Notes,RA SF Case,RA SF Case Created Date,RA SF Case Status,RA Resolution Closed Note,OrderID Account,Agent Username,Agent Account Name,Most Recent Total Bill For Order,Order Status
Bigleaf,Business Name,2261459,859469,801Qo00000LUuDZIA1,1422,Agent,001Qo00000HrpLzIAJ,Appsmart,False,24,11/1/2022,7/1/2024,7/1/2025,USD,199,0,0,96.07,0,0,0,20.%,%,39.8,0,0,0,0,17.29,0,False,0,17.29,-17.29,,,True,False,True,False,True,False,True,True,False,False,0,0,True,True,0,False,32.4,,,,,,,,,,,,,,,9/1/2025,RA | Supplier | Customer | Order Id 00000 | Account Num. 000000,Other broker.,PASS,0,0,,,,8/1/2025,00569618,2025-03-14T08:29:08.000Z,Closed,Revenue Assurance,Supplier Resolved - Other,RESOLVED; payment in March25. corrects missed month; account is now currently paying in March25,00569618,2025-03-14T08:29:08.000Z,Closed,RESOLVED; payment in March25. corrects missed month; account is now currently paying in March25,859469 1422,username,account name,0,Activated
Cloudli Communications Inc,Business Name,2445154,967508,801Qo00000xV8qeIAC,1137,Agent,0013i00001SFzT3AAL,Telarus,False,36,6/12/2025,8/1/2025,9/1/2025,USD,93,93,80,80,0,0,0,18.%,26.%,16.74,0,0,0,0,20.8,20.8,False,0,20.8,0,,,False,False,False,False,False,True,True,False,True,True,80,80,True,True,20.8,True,2.7,,,,,,,,,,,,,,,9/1/2025,RA | Supplier | Customer | Order Id 00000 | Account Num. 000000,,,,,,,,,,,,,,,,,,,967508 1137,username,account name,80,Activated
